SourcePub,Profile_name,X,Y
Frankel2001,9,100.991,553.305
Frankel2001,9,102.042,553.156
Frankel2001,9,103.092,552.858
Frankel2001,9,103.842,552.709
Frankel2001,9,103.842,552.709
Frankel2001,9,104.443,552.559
Frankel2001,9,104.893,552.261
Frankel2001,9,105.343,552.111
Frankel2001,9,105.493,551.962
Frankel2001,9,105.493,551.962
Frankel2001,9,106.244,552.261
Frankel2001,9,107.144,552.709
Frankel2001,9,108.194,553.156
Frankel2001,9,109.094,553.604
Frankel2001,9,109.094,553.604
Frankel2001,9,109.695,553.753
Frankel2001,9,110.445,553.902
Frankel2001,9,111.346,554.052
Frankel2001,9,113.147,554.052
Frankel2001,9,113.896,553.902
Frankel2001,9,115.698,553.753
Frankel2001,9,117.648,553.454
Frankel2001,9,119.9,553.305
Frankel2001,9,122,553.007
Frankel2001,9,124.25,552.709
Frankel2001,9,126.201,552.41
Frankel2001,9,127.852,552.111
Frankel2001,9,127.852,552.111
Frankel2001,9,130.703,551.664
Frankel2001,9,133.105,551.067
Frankel2001,9,135.056,550.619
Frankel2001,9,136.706,550.172
Frankel2001,9,136.706,550.172
Frankel2001,9,137.456,550.023
Frankel2001,9,138.207,550.023
Frankel2001,9,138.658,549.873
Frankel2001,9,139.107,549.724
Frankel2001,9,139.107,549.724
Frankel2001,9,139.558,549.276
Frankel2001,9,140.158,548.68
Frankel2001,9,140.608,548.232
Frankel2001,9,141.208,547.784
Frankel2001,9,141.208,547.784
Frankel2001,9,144.51,547.784
Frankel2001,9,144.51,547.784
Frankel2001,9,145.56,547.635
Frankel2001,9,146.911,547.485
Frankel2001,9,148.412,547.188
Frankel2001,9,150.062,547.038
Frankel2001,9,153.363,546.441
Frankel2001,9,155.014,546.292
Frankel2001,9,156.515,545.994
Frankel2001,9,156.515,545.994
Frankel2001,9,159.516,545.546
Frankel2001,9,162.518,544.95
Frankel2001,9,165.518,544.502
Frankel2001,9,166.719,544.203
Frankel2001,9,167.92,544.054
Frankel2001,9,167.92,544.054
Frankel2001,9,168.97,543.905
Frankel2001,9,169.871,543.606
Frankel2001,9,171.372,543.308
Frankel2001,9,172.722,543.009
Frankel2001,9,174.073,542.562
Frankel2001,9,174.073,542.562
Frankel2001,9,175.423,542.114
Frankel2001,9,176.625,541.517
Frankel2001,9,177.674,541.069
Frankel2001,9,178.574,540.622
Frankel2001,9,178.574,540.622
Frankel2001,9,179.625,540.622
Frankel2001,9,180.226,540.473
Frankel2001,9,180.526,540.324
Frankel2001,9,180.675,540.025
Frankel2001,9,180.675,540.025
Frankel2001,9,180.975,539.279
Frankel2001,9,181.275,538.384
Frankel2001,9,181.426,537.339
Frankel2001,9,181.726,536.146
Frankel2001,9,182.476,533.758
Frankel2001,9,182.926,532.713
Frankel2001,9,183.377,531.818
Frankel2001,9,183.377,531.818
Frankel2001,9,184.577,530.326
Frankel2001,9,186.077,529.281
Frankel2001,9,187.728,528.236
Frankel2001,9,189.378,527.191
Frankel2001,9,189.378,527.191
Frankel2001,9,191.03,526.148
Frankel2001,9,192.681,525.401
Frankel2001,9,194.331,524.506
Frankel2001,9,195.832,523.462
Frankel2001,9,195.832,523.462
Frankel2001,9,197.182,522.268
Frankel2001,9,198.533,520.925
Frankel2001,9,199.883,519.731
Frankel2001,9,200.484,519.283
Frankel2001,9,201.084,518.836
Frankel2001,9,201.084,518.836
Frankel2001,9,201.685,518.537
Frankel2001,9,202.285,518.388
Frankel2001,9,204.687,518.388
Frankel2001,9,205.736,518.537
Frankel2001,9,205.736,518.537
Frankel2001,9,206.787,518.537
Frankel2001,9,207.838,518.686
Frankel2001,9,208.888,518.836
Frankel2001,9,209.938,518.985
Frankel2001,9,209.938,518.985
Frankel2001,9,213.689,518.985
Frankel2001,9,214.89,518.836
Frankel2001,9,214.89,518.836
Frankel2001,9,215.941,518.537
Frankel2001,9,216.992,518.238
Frankel2001,9,218.042,517.791
Frankel2001,9,218.642,517.493
Frankel2001,9,219.393,517.195
Frankel2001,9,219.393,517.195
Frankel2001,9,221.044,516.449
Frankel2001,9,222.994,515.552
Frankel2001,9,225.245,514.508
Frankel2001,9,227.498,513.613
Frankel2001,9,227.498,513.613
Frankel2001,9,229.898,512.718
Frankel2001,9,232.298,511.972
Frankel2001,9,233.648,511.525
Frankel2001,9,234.999,511.077
Frankel2001,9,236.65,510.48
Frankel2001,9,238.3,509.884
Frankel2001,9,238.3,509.884
Frankel2001,9,240.251,509.137
Frankel2001,9,242.352,508.092
Frankel2001,9,244.754,507.048
Frankel2001,9,247.154,506.003
Frankel2001,9,249.557,504.809
Frankel2001,9,251.957,503.765
Frankel2001,9,254.209,502.87
Frankel2001,9,256.308,501.974
Frankel2001,9,256.308,501.974
Frankel2001,9,260.209,500.631
Frankel2001,9,263.812,499.587
Frankel2001,9,265.463,499.139
Frankel2001,9,266.963,498.692
Frankel2001,9,268.464,498.245
Frankel2001,9,269.664,497.796
Frankel2001,9,269.664,497.796
Frankel2001,9,270.566,497.349
Frankel2001,9,271.464,496.901
Frankel2001,9,272.817,496.005
Frankel2001,9,274.017,495.26
Frankel2001,9,274.316,494.961
Frankel2001,9,274.766,494.812
Frankel2001,9,274.766,494.812
Frankel2001,9,275.067,494.812
